Mes,Año,Num_Casas,Hab_Por_Casa,Ocupacion_Pct,ADR,RevPAR,Ingresos_Totales,GOP,NPS,Agua_L_Huesped,Energia_KWh_Huesped,Residuos_G_Huesped,Km_Cero_Pct
Enero,2026,1,5,0.40,160.00,64.00,12400.00,3900.00,92,310,18.5,450,75
Febrero,2026,1,5,0.45,160.00,72.00,13950.00,5150.00,91,305,18.2,440,75
Marzo,2026,1,5,0.50,165.00,82.50,15984.00,6784.00,94,295,17.8,420,80
Abril,2026,1,5,0.55,165.00,90.75,17582.00,8082.00,93,280,16.5,410,85
Mayo,2026,1,5,0.60,170.00,102.00,19762.00,9662.00,95,270,15.2,390,90
Junio,2026,1,5,0.70,180.00,126.00,24412.00,12912.00,96,265,14.8,380,95
Julio,2026,1,5,0.85,195.00,165.75,32114.00,18914.00,97,260,14.5,370,95
Agosto,2026,1,5,0.90,210.00,189.00,36628.00,22128.00,97,260,14.5,370,95
Septiembre,2026,1,5,0.75,185.00,138.75,26882.00,14882.00,95,275,15.5,395,90
Octubre,2026,1,5,0.60,170.00,102.00,19762.00,9262.00,94,285,16.8,415,85
Noviembre,2026,1,5,0.45,160.00,72.00,13950.00,5050.00,91,300,18.0,435,80
Diciembre,2026,1,5,0.50,175.00,87.50,16953.00,7153.00,93,305,18.5,445,80
Junio,2026,3,7,0.75,190.00,142.50,114712.00,72712.00,96,255,13.8,360,95
